"{""eta+"", ""sigma-eta"", ""IFR"", ""sigma-ifr"", ""fa"", ""fs"", ""fd"", ""taud"", ""s/fa"", ""s/ifr"", ""s/eta"", ""s/fd"", ""s/fs"", ""Dt-tab"", ""nd"", ""ns"", ""UF"", ""pop""}","","","","","","","","","","","","","","","",""
"AC",12.51759488565857,4.265514285548024,0.00448225667362435,0.0017185196927078834,0.0407,0.003251423326267737,0.00018242784661651103,10.5,0.3341523341523342,0.38340501623221174,0.3407614900874473,0.1879936808846761,0.06678780358092544,20.,90.42857142857143,1611.7142857142858
"AL",4.167582465277778,3.5867364578400505,0.02155440230693919,0.018535998810404825,0.0085,0.002039551723527433,0.00018321241960898312,12.,0.8588235294117647,0.8599634796849539,0.8606275911089828,0.04426433915211978,0.055695564516129115,430.,229.14285714285714,2550.8571428571427
"AM",24.63145244270741,4.653456551210283,0.005168186978677774,0.0009493772093521409,0.1154,0.004685066796950753,0.0005964087773394152,15.,0.18284228769497402,0.1836963742350957,0.18892335163889304,0.017693381180223285,0.047547141080628436,1566.,1433.142857142857,11258.
"AP",17.92671739871365,4.1706878829900935,0.0024715972067887518,0.0006004593529942883,0.0878,0.004897717638272146,0.0002170062347560524,13.,0.22665148063781324,0.24294385482594122,0.23265206843107628,0.08746898263027304,0.052498488263427,58.,115.14285714285714,2598.714285714286
"BA",7.378590762747977,3.4642091441207814,0.009483890557943474,0.004419411399259061,0.009300000000000001,0.0012604032801158418,0.00008820018218887431,14.,0.46236559139784944,0.4659913958578393,0.46949468475883066,0.05801759133964822,0.08150655745466596,782.,422.2857142857143,6034.571428571428
"CE",15.055129403562848,3.760829879025334,0.008791021973321008,0.002181715218256659,0.06860000000000001,0.004556586540117389,0.0006030641073698213,16.,0.24489795918367346,0.24817537993622676,0.2498038893066785,0.04019961186581643,0.049264314675179305,2367.,2061.1428571428573,15573.42857142857
"DF",3.0684316695866105,3.7829209661590535,0.012731298971858684,0.015683529784485364,0.0039000000000000003,0.0012710076090843572,0.00004965206599024887,15.,1.2307692307692308,1.2318876352799744,1.232851623731514,0.052480916030534286,0.07162560107354528,292.,149.71428571428572,3832.4285714285716
"ES",7.009958698014422,4.474698213554757,0.010343591579008144,0.006570788666971338,0.0123,0.0017546465720952088,0.0001272261764218002,15.,0.6341463414634146,0.6352521381747572,0.6383344619166187,0.037465940054495835,0.07300207448384866,489.,104.85714285714286,1446.142857142857
"GO",9.828515542053086,8.658972773362137,0.006230931377399181,0.00547546825487509,0.0041,0.0004171535347792255,0.000025546818647336643,14.,0.8780487804878049,0.8787559873850794,0.8810051463329485,0.03524804177545697,0.07211384713783181,203.,54.714285714285715,893.4285714285714
"MA",3.6972383110309006,2.694110379428751,0.02448393253059446,0.01781194434030407,0.0143,0.0038677517641573754,0.00035012023518750076,13.,0.7272727272727274,0.7274952386854826,0.7286818302706466,0.01799173352783855,0.04529448014790032,457.,587.5714285714286,6490.857142857143
"MG",25.48409713813979,10.869502306932711,0.0019964417241582193,0.0008481378262683467,0.0099,0.0003884775649039395,0.000019764773069166373,13.,0.42424242424242425,0.4248247349298192,0.42652098867828003,0.022235576923076903,0.04402861860209142,415.,118.85714285714286,2336.1428571428573
"MS",44.50450524017467,46.464705616883144,0.0009157929944262778,0.0009567273428315145,0.0071,0.0001595344103183234,6.502130260426573e-6,16.,1.0422535211267605,1.0446982545775871,1.044044987493513,0.07142857142857141,0.061135371179039256,29.,8.,196.28571428571428
"MT",141.81502389261743,88.7353637860262,0.0003644032270383696,0.00023243562144296224,0.0528,0.00037231598282548854,0.000019240490387625915,14.5,0.6231060606060607,0.6378528075397314,0.625712010972947,0.13636363636363638,0.057046979865771764,50.,22.,425.7142857142857
"PA",45.31011497060718,6.778586747096075,0.004903555811699738,0.000652458889308943,0.1208,0.0026660713634993724,0.0005923495420533285,14.,0.12996688741721854,0.13305831816009833,0.14960427161779144,0.028515332834704556,0.07409484638873311,2228.,1528.,6877.285714285715
"PB",11.202834344377042,6.56311587806723,0.00581361728634888,0.0033913167505094065,0.0172,0.0015353257462593002,0.00009999421732520074,13.,0.5813953488372093,0.5833402137551528,0.5858442315860368,0.04759467758444215,0.07206186254249713,339.,139.57142857142858,2143.
"PE",6.745887560028141,2.7408763850454707,0.015130815444125345,0.006125103520401513,0.0258,0.0038245523321311296,0.0003903750384584339,12.,0.4031007751937985,0.40480987578099314,0.4063033011825114,0.03715912496254122,0.05091303948857554,1977.,953.4285714285714,9340.857142857143
"PI",29.818969305233438,16.26169652569795,0.002076325462955837,0.0011347231844628766,0.0347,0.0011636887796088213,0.00007204849356456754,15.,0.5417867435158501,0.5465054514370284,0.54534737130716,0.07166123778501628,0.062216396087526445,211.,87.71428571428571,1416.7142857142858
"PR",22.468898936989675,12.692307150998293,0.0037848239024629495,0.002139868258682064,0.0055000000000000005,0.0002447828002352872,0.000020816531463546222,15.5,0.5636363636363637,0.5653811944300919,0.5648833610668585,0.04438405797101453,0.0375134802033585,342.,78.85714285714286,927.2857142857143
"RJ",10.896342420507228,6.1280194155370245,0.02266843223120731,0.012709003297009771,0.0177,0.0016243982904472693,0.0004012312504923694,13.,0.5593220338983051,0.5606476516498334,0.5623923312105094,0.03853117823706058,0.05868557403872378,5802.,3234.8571428571427,13096.42857142857
"RN",15.267439206687428,7.313066951492638,0.0051639003394889785,0.002471852407709845,0.0213,0.001395125908912753,0.00010999107723111525,15.,0.4741784037558686,0.4786793402667528,0.47899761397375507,0.06548856548856549,0.06777577446320272,285.,137.42857142857142,1743.142857142857
