"AC",0.006638826728662342,0.007133342832589468,0.004418023360723552,0.011008364919705376,0.9500002685940592
"AL",0.00374434165613454,0.0039479880332592586,0.0026367891874368786,0.0057049154995744075,0.9500005441311662
"AM",0.0052896205197948834,0.005501349856732443,0.003916569748299457,0.007529193544060148,0.9500006568053476
"AP",0.0026871466818866123,0.0028041384268230147,0.001965924597256604,0.0038897800375244295,0.9500006098494568
"BA",0.00392552979794303,0.004428034722932136,0.00232591157678184,0.007932615729458132,0.9500000009349894
"CE",0.007213427713129612,0.007484415776695477,0.0053862868228569906,0.010145402526600058,0.9500001985485312
"DF",0.008169170359625163,0.01975513503449308,0.0019473834886582946,0.23379562020071343,0.9495470874727951
"ES",0.015679937235483925,0.019325174712258145,0.008006137503076107,0.04622115209542018,0.9499977608841657
"GO",0.006715323546136181,0.011333958926520527,0.0024192298996414865,0.08104064235175917,0.9498389723649333
"MA",0.0069707963676506135,0.007326183971921963,0.004958989561044204,0.010466714111192649,0.9500000991486519
"MG",0.005996274179873166,0.007848742176630539,0.0029298488053767966,0.02484149333770013,0.9499815598248609
"MS",0.0016297699169259571,0.0031203828987371642,0.0005140927295031461,0.028316314384872133,0.9496293140120136
"MT",0.007701600203684231,0.010848633778531964,0.003257403206479777,0.04276589159681134,0.949959325179762
"PA",0.00658798736347996,0.006728628329443269,0.0052699310131995485,0.008465059070113702,0.9500008544206864
"PB",0.004525025697080883,0.004863977512852996,0.003011918028275488,0.007515964110249182,0.950000539393028
"PE",0.024857272394072306,0.03265133493779701,0.011283242422624858,0.09471614022527387,0.9499925519781455
"PI",0.0125287455169969,0.016114493364426507,0.0059700253792622044,0.04472573053071397,0.949990697430191
"PR",0.004018914092141554,0.006370192848551433,0.001485621550736478,0.03735722972123806,0.9499994123513864
"RJ",0.010521842033981627,0.011635353390898346,0.006503899640370558,0.01963221099012068,0.9500001781790992
"RN",0.006432969013808866,0.007517962009738427,0.0035516382671293215,0.01494932964134639,0.9499993707880361
"RO",0.014177821206256842,0.01890428252479798,0.00626683945545525,0.05719582760987939,0.9499887479882239
"RR",0.0016071342334228963,0.0016425994115574578,0.0012919738719147332,0.002063518041874925,0.9500005457124572
"RS",0.005459712194241498,0.007801512819792615,0.002369658024146767,0.034314885736843825,0.9499448661415664
"SC",0.0045233906409283525,0.005824607983909607,0.002254452093454749,0.017212194352312467,0.9499856310553156
"SE",0.015295115853031513,0.028815862679895176,0.004725191794689085,0.24962832989212608,0.9497696887138545
"SP",0.01941242644888946,0.02847803328305275,0.007613319698188507,0.12413437832479506,0.9499749282543142
"TO",0.009620170897116859,0.014781181083040204,0.0037344868783243572,0.08022344825670247,0.9499101240944892
