"AC",0.007224824373652269,0.00838428373024349,0.004025444112661666,0.016294401902584153,0.9499999478995957
"AL",0.015851521371659266,0.029603307799798022,0.004820682366219376,0.2479563650654421,0.9499079817324767
"AM",0.00512324783383804,0.005383221951855863,0.0036178855840188853,0.007709768098837325,0.9500007264234455
"AP",0.003156666386336714,0.0033969021679734054,0.0020828116883345607,0.005271363973144898,0.9500001449864206
"BA",0.009938528390243716,0.01297492941690468,0.00470032998011433,0.03896061550260776,0.949986966342871
"CE",0.009763373640916994,0.010622620066462723,0.006258340376244045,0.017072188683121933,0.9500004980789759
"DF",0.0068862669528221504,0.019816342404960014,0.0013057783276744124,0.26634045408322654,0.9497781474341194
"ES",0.009235912468879092,0.014095789218327577,0.0034347144844553276,0.06970158432237676,0.9499933188187959
"GO",0.0038963649458087952,0.007108480374726994,0.0012688839334610278,0.05943214723677734,0.9498229706213854
"MA",0.016188931665319033,0.02683022288756939,0.005390219063536175,0.16391048730092417,0.9499841120351802
"MG",0.001834914147140091,0.0023150829364380577,0.0009037325462751727,0.006124429329082557,0.9499957988952414
"MS",0.0004380000385917704,0.0010170543978264659,0.00010473703954694352,0.011523730649250287,0.9495046044712941
"MT",0.0004062828299296359,0.0006250184151523789,0.00014693918083771835,0.002616066668807865,0.9499787594590936
"PA",0.005638354045952353,0.005784426156113465,0.004410268711049686,0.0074512260316065,0.9500007438261692
"PB",0.005721450019286169,0.008305697673775685,0.0022304358581561093,0.03369640564492695,0.9499669301891966
"PE",0.014748648530044643,0.01814368612078658,0.0074086410397398664,0.042212123468340475,0.9499997777447503
"PI",0.002413685866374426,0.0033564741518179344,0.000990298817497183,0.011044319448812361,0.9499947633746378
"PR",0.002925661294293266,0.004136875197423042,0.0012052884368508,0.01722322080361505,0.9499753862941804
"RJ",0.019848383765174154,0.028140024537164004,0.008026025782589328,0.10566004616932793,0.9499716647807193
"RN",0.005204696904951954,0.006896553162444594,0.0023176471279250693,0.020411929702578362,0.9499982891183334
"RO",0.01659636626235763,0.036870529077216066,0.004311508220831382,0.39975298329678305,0.9494930361349567
"RR",0.005472543935510402,0.006626618971892972,0.002818306684086399,0.014547031474295237,0.9499982428814029
"RS",0.0037191285142360326,0.0052878509399268666,0.0016024476164520497,0.022832694734694636,0.9499381102906364
"SC",0.0030651935700977584,0.003982119384296019,0.0014769180845311532,0.012167564527244266,0.9499971341085334
"SE",0.01061182686227732,0.024904234884739838,0.0026685542489556,0.28858272384281547,0.9495325174582225
"SP",0.009253023616682145,0.012098836409254354,0.004163551228753981,0.03428731813752849,0.9499985348840289
"TO",0.007823121388762134,0.013039878026268674,0.002855103968961448,0.09050513257582868,0.9498141152557832
